id,name,gender,country,birth,death,complexity
317,Джакомо Дель По,1,,,,3
318,Андрей Горский,1,,,,3
319,Луис Рикардо Фалеро,1,,,,3
321,Уильям Хогарт,1,,,,3
322,Луис Уэйн,1,,,,3
323,Илья Машков,1,,,,3
324,Генрих Томек,1,,,,3
325,Мэри Кассат,2,USA,1844,1926,3
326,Виллем ван Мирис,1,,,,3
327,Чарльз Уильям Митчелл,1,,,,3
328,Тоби Эдвард Розенталь,1,,,,3
329,Джон Лонгстафф,1,,,,3
331,Фердинанд Ходлер,1,,,,3
332,Поль Сезанн,1,,,,1
333,Томас Фрэнсис Дикси,1,,,,3
334,Ирина Пьянкова,2,,,,3
335,Витторио Коркос,1,,,,3
336,Иван Билибин,1,,,,3
337,Павел Федотов,1,,,,2
338,Клод Лоррен,1,,,,3
339,Амалдус Кларин Нильсен,1,,,,3
340,Джордж Калеб Бингэм,1,,,,3
341,Нильс Бломмер,1,,,,3
342,Скотт Гесс,1,,,,3
343,Гуго ван дер Гус,1,,,,3
344,Даниэль Сабатер,1,,,,3
347,Одилон Редон,1,,,,3
348,Юрий Пименов,1,,,,2
349,Давид Тенирс Младший,1,,,,3
350,Эмиль Нольде,1,,,,3
351,Нико Пиросмани,1,Russia,1862,1918,2
352,Йозеф Лоукота,1,,,,3
353,Джеймс Уистлер,1,,,,3
354,Эйлерт Адельстен Норман,1,,,,3
355,Джузеппе Арчимбольдо,1,,,,2
356,Эдвард Уильям Кук,1,,,,3
357,Чарльз Бертон Барбер,1,,,,3
358,Альберт Линч,1,,,,3
359,Василий Перов,1,,,,1
360,Доменикино,1,Italy,1581,1641,3
361,Диего Ривера,1,,,,1
363,Мартин ван Мейтенс,1,,,,3
364,Альберт Эдельфельт,1,,,,3
365,Франц Коринт,1,,,,3
366,Эдвард Мунк,1,,,,1
367,Карл Рауп,1,,,,3
368,Кристиано Банти,1,,,,3
369,Уильям Генри Джеймс Бут,1,,,,3
370,Иван Крамской,1,,,,1
371,Алонсо Санчес Коэльо,1,,,,3
373,Фредерик Уильям Бертон,1,,,,3
374,Говард Пайл,1,,,,3
